目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
0001,2 ,753.04,87.65,81.56,85.61,85.63,85.81,82.35,84.77,2,10,2,10,5,6,1,1983,6,14,2,3,19.000,11,10,30,5,0
0002,3 ,88.92,82.95,85.17,85.19,77.76,83.60,82.15,88.87,2,20,1,3,3,5,1,1992,6,5,4,4,18.000,10,8,0,30,0
0003,3 ,95.05,93.33,77.66,93.03,88.87,94.17,95.60,95.88,2,32,1,8,5,6,1,1988,4,9,5,2,24.000,10,17,0,0,0
0004,3 ,71.15,76.79,66.69,81.93,66.65,77.77,77.58,76.99,2,34,1,5,3,5,1,1986,6,10,4,7,27.000,10,10,18,25,0
0005,3 ,70.57,71.65,70.44,74.03,66.65,66.34,62.09,74.44,2,36,1,5,3,5,1,1983,6,13,4,2,25.000,15,15,0,0,0
0006,3 ,68.73,70.96,70.44,71.24,69.90,72.49,71.24,70.76,1,15,1,6,3,5,1,1985,6,9,3,2,15.000,10,7,30,5,0
0007,3 ,65.97,71.51,66.69,62.50,67.96,64.12,68.95,63.33,1,15,1,5,3,5,1,1990,6,10,3,3,15.000,10,7,0,0,0
0008,3 ,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1,22,6,2,4,4,#NULL!,1999,5,1,5,8,22.000,14,8,20,20,0
0009,3 ,82.80,84.86,81.41,84.72,87.69,83.27,84.52,88.52,2,30,2,5,3,5,1,1986,6,11,1,2,51.000,34,19,15,20,0
0010,3 ,79.66,80.20,77.81,81.45,73.22,75.03,73.34,74.44,1,16,1,10,6,6,2,1989,4,10,3,2,26.000,12,15,26,15,0
0011,3 ,77.81,77.80,77.81,77.77,77.76,75.03,77.77,77.76,1,5,1,5,4,5,1,1993,5,3,7,9,10.000,9,7,35,5,0
0012,3 ,75.42,75.78,62.94,73.61,69.90,71.95,77.77,62.55,2,5,2,5,3,8,#NULL!,1970,4,30,4,6,20.000,8,10,0,25,0
0013,3 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,29,1,8,5,6,1,1990,8,4,4,3,25.000,10,13,20,0,1
0014,3 ,61.11,76.37,66.69,77.77,55.55,60.84,68.96,70.33,2,12,2,2,3,2,#NULL!,1990,6,6,1,8,30.000,15,12,0,0,0
0015,3 ,85.37,82.63,77.81,84.72,82.61,85.81,88.88,85.54,1,10,1,7,5,6,1,1988,6,9,3,7,38.000,14,13,0,0,0
0016,3 ,77.81,83.24,70.44,77.77,77.93,75.03,75.66,81.87,2,40,1,12,3,5,1,1980,6,15,5,1,60.000,50,45,0,0,0
0017,3 ,75.04,76.54,70.44,77.77,66.59,72.49,73.38,73.66,2,35,1,11,5,6,1,1985,4,10,3,3,60.000,50,45,0,0,0
0018,3 ,67.26,74.80,74.05,70.82,82.78,74.70,71.30,73.66,2,40,2,11,3,5,1,1980,5,16,4,2,50.000,45,45,0,0,0
0019,3 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,29,2,8,5,6,1,1990,8,4,4,3,42.000,26,13,30,20,0
0020,3 ,63.38,51.77,40.70,59.66,53.93,50.59,57.65,47.41,1,2,3,4,3,5,1,1994,6,4,4,8,40.000,14,21,15,0,0
0021,1 ,71.68,72.41,74.05,69.92,80.84,75.23,73.20,77.34,2,30,1,10,3,5,1,1990,6,8,4,3,25.000,13,9,40,8,0
0022,1 ,88.92,90.18,88.92,88.88,88.87,88.88,90.98,88.87,2,12,2,4,5,6,1,1987,6,11,3,4,25.000,7,7,25,25,0
0023,1 ,67.26,67.10,66.69,70.34,69.73,69.74,73.52,66.66,2,5,2,8,3,3,1,1990,6,8,2,2,20.000,10,15,10,10,0
0024,1 ,93.53,90.94,73.90,88.88,90.65,94.17,95.60,96.65,2,29,1,5,5,6,1,1991,6,6,6,5,23.000,11,7,15,30,0
0025,1 ,89.65,93.95,73.90,96.30,88.87,96.92,95.60,95.88,2,29,1,5,5,6,1,1991,6,6,6,8,11.000,15,12,15,0,0
0026,1 ,75.53,81.09,62.94,77.77,66.65,74.70,77.77,77.76,1,15,1,20,4,5,2,1979,5,21,1,3,35.000,15,10,0,0,0
